year,scenario,carbon_credit_funding_index,cooling_credit_funding_index,physical_cooling_investment_index,natural_cooling_function_index,water_cycle_recovery_index,soil_moisture_recovery_index,forest_evapotranspiration_recovery_index,urban_heat_reduction_index,ocean_heat_moderation_index,el_nino_heat_risk_moderation_index,heat_load_index,warming_mitigation_index
2015,A,30.0,3.0,10.0,72.0,66.0,69.0,71.0,22.0,74.0,68.0,40.0,22.0
2016,A,32.98,3.3,10.5,71.4,65.4,68.44,70.44,22.94,73.44,67.41,41.22,24.0
2017,A,35.37,3.6,11.0,70.75,64.75,67.81,69.84,23.76,72.81,66.73,42.62,25.49
2018,A,37.58,3.9,11.5,70.09,64.09,67.14,69.23,24.54,72.14,66.01,44.09,26.82
2019,A,39.68,4.2,12.0,69.42,63.42,66.45,68.6,25.29,71.45,65.28,45.62,28.07
2020,A,41.7,4.5,12.5,68.73,62.73,65.74,67.97,26.02,70.74,64.52,47.18,29.26
2021,A,43.66,4.8,13.0,68.05,62.05,65.01,67.33,26.74,70.01,63.74,48.78,30.4
2022,A,45.57,5.1,13.5,67.35,61.35,64.27,66.68,27.44,69.27,62.96,50.4,31.5
2023,A,47.44,5.4,14.0,66.65,60.65,63.53,66.03,28.14,68.53,62.16,52.04,32.57
2024,A,49.28,5.7,14.5,65.95,59.95,62.77,65.38,28.82,67.77,61.35,53.71,33.61
2025,A,51.08,6.0,15.0,65.24,59.24,62.0,64.72,29.5,67.0,60.54,55.4,34.64
2026,A,52.86,6.3,15.5,64.53,58.53,61.23,64.06,30.17,66.23,59.71,57.1,35.64
2027,A,54.62,6.6,16.0,63.81,57.81,60.45,63.4,30.84,65.45,58.88,58.81,36.62
2028,A,56.35,6.9,16.5,63.09,57.09,59.66,62.73,31.5,64.66,58.04,60.55,37.59
2029,A,58.06,7.2,17.0,62.37,56.37,58.87,62.06,32.16,63.87,57.19,62.29,38.54
2030,A,59.76,7.5,17.5,61.65,55.65,58.07,61.39,32.81,63.07,56.34,64.05,39.48
2031,A,61.43,7.8,18.0,60.92,54.92,57.26,60.72,33.45,62.26,55.48,65.82,40.4
